FA-DOMID,FA-PDBID,FA-PDBREG,FA-UNIID,FA-UNIREG,SF-DOMID,SF-PDBID,SF-PDBREG,SF-UNIID,SF-UNIREG,SCOPCLA,TP,CL,CF,SF,FA
8023314,1ZES,A:3-123,P0AFJ5,3-123,8035694,1ZES,A:3-123,P0AFJ5,3-123,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8023408,2PL1,A:1-119,P23836,1-119,8035788,2PL1,A:1-119,P23836,1-119,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8023786,1KRW,A:1-124,P41789,1-124,8036166,1KRW,A:1-124,P41789,1-124,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8023805,1K66,A:2-149,Q8RTM8,2-149,8036185,1K66,A:2-149,Q8RTM8,2-149,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8023808,1K68,A:10-148,Q8RTN0,9-147,8036188,1K68,A:10-148,Q8RTN0,9-147,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8024166,2R25,B:1087-1214,P39928,1087-1214,8036545,2R25,B:1087-1214,P39928,1087-1214,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8024398,2A9P,A:2-118,Q9S1K0,2-118,8036777,2A9P,A:2-118,Q9S1K0,2-118,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8024696,1NY5,A:1-137,O67198,1-137,8037075,1NY5,A:1-137,O67198,1-137,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8025118,2AYX,A:817-949,P0DMC5,817-949,8037497,2AYX,A:817-949,P0DMC5,817-949,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8025122,2AYX,A:700-816,P0DMC5,700-816,8037501,2AYX,A:700-816,P0DMC5,700-816,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4002478",1,1000002,2000016,3001156,4002478
8025234,2B4A,A:2-119,Q9K8I2,2-119,8037613,2B4A,A:2-119,Q9K8I2,2-119,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8025680,1P6Q,A:1-129,Q52884,1-129,8038059,1P6Q,A:1-129,Q52884,1-129,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8025734,1PEY,A:3-121,P06628,3-121,8038113,1PEY,A:3-121,P06628,3-121,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8025851,1KGS,A:2-123,Q9WYN0,2-123,8038230,1KGS,A:2-123,Q9WYN0,2-123,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8026410,1R8J,A:2-135,Q79PF6,2-135,8038789,1R8J,A:2-135,Q79PF6,2-135,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4002938",1,1000002,2000016,3001156,4002938
8026920,1S8N,A:11-200,P9WGM3,11-200,8039299,1S8N,A:11-200,P9WGM3,11-200,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8027136,1I3C,A:6-147,Q55169,6-147,8039515,1I3C,A:6-147,Q55169,6-147,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8028257,1U0S,Y:2-119,Q56312,2-119,8040636,1U0S,Y:2-119,Q56312,2-119,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8028706,2FKA,A:2-129,P0A2D5,2-129,8041085,2FKA,A:2-129,P0A2D5,2-129,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8030843,1W25,A:2-140,B8GZM2,2-140,8043222,1W25,A:2-140,B8GZM2,2-140,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8030845,1W25,A:141-293,B8GZM2,141-293,8043224,1W25,A:141-293,B8GZM2,141-293,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8030924,1M5T,A:2-124,Q9A5I4,7-129,8043303,1M5T,A:2-124,Q9A5I4,7-129,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8031442,1MVO,A:1-121,P13792,1-121,8043820,1MVO,A:1-121,P13792,1-121,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8031657,1A04,A:5-142,P0AF28,5-142,8044035,1A04,A:5-142,P0AF28,5-142,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8031661,1QKK,A:5-144,P13632,5-144,8044039,1QKK,A:5-144,P13632,5-144,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8031663,1DBW,A:1-123,P10958,1-123,8044041,1DBW,A:1-123,P10958,1-123,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8031664,1DZ3,A:2-124,P52934,2-124,8044042,1DZ3,A:2-124,P52934,2-124,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8031670,1A2O,A:1-140,P04042,1-140,8044048,1A2O,A:1-140,P04042,1-140,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8031671,1DCF,A:1-134,P49333,603-736,8044049,1DCF,A:1-134,P49333,603-736,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8031672,1QO0,D:2-190,P10932,2-190,8044050,1QO0,D:2-190,P10932,2-190,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003653",1,1000002,2000016,3001156,4003653
8031727,1C4K,A:1-107,P43099,2-108,8044105,1C4K,A:1-107,P43099,2-108,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003685",1,1000002,2000016,3001156,4003685
8017851,3T6K,A:2-123,A9WCL5,2-123,8057732,3T6K,A:2-123,A9WCL5,2-123,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8017852,4DN6,A:1-122,Q2T2Y8,1-122,8057733,4DN6,A:1-122,Q2T2Y8,1-122,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003986",1,1000002,2000016,3001156,4003986
8017853,4DAD,A:1-127,Q63I75,1-127,8057736,4DAD,A:1-127,Q63I75,1-127,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003986",1,1000002,2000016,3001156,4003986
8017854,4MYR,A:31-152,Q92YL8,31-152,8057737,4MYR,A:31-152,Q92YL8,31-152,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003986",1,1000002,2000016,3001156,4003986
8017855,4N0P,A:124-249,Q9A495,124-249,8057740,4N0P,A:124-249,Q9A495,124-249,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003986",1,1000002,2000016,3001156,4003986
8017856,4LDA,A:2-121,Q9HW97,2-121,8057741,4LDA,A:2-121,Q9HW97,2-121,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003986",1,1000002,2000016,3001156,4003986
8072779,2MSK,A:1-124,A0A0M3KKS6,1-124,8072780,2MSK,A:1-124,A0A0M3KKS6,1-124,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8072781,6ER7,A:2-118,O58193,2-118,8072782,6ER7,A:2-118,O58193,2-118,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8072783,3NHZ,B:5-120,P9WGM7,5-120,8072784,3NHZ,B:5-120,P9WGM7,5-120,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8072785,5UHT,B:1-121,Q9WYT9,1-121,8072786,5UHT,B:1-121,Q9WYT9,1-121,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8072787,3CFY,A:2-128,Q87PN2,2-128,8072788,3CFY,A:2-128,Q87PN2,2-128,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8072789,2ZWM,A:1-120,P37478,2-121,8072790,2ZWM,A:1-120,P37478,2-121,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8072791,3A0R,B:1-116,Q9X181,1-116,8072792,3A0R,B:1-116,Q9X181,1-116,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8072793,3CU5,B:4-130,A9KIW7,2-128,8072794,3CU5,B:4-130,A9KIW7,2-128,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8072795,4HNR,A:1-119,Q6BBK6,7-125,8072796,4HNR,A:1-119,Q6BBK6,7-125,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8072797,3HZH,A:13-146,O51615,13-146,8072798,3HZH,A:13-146,O51615,13-146,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8072799,4JP1,A:6-128,A0A0H3AMJ9,6-128,8072800,4JP1,A:6-128,A0A0H3AMJ9,6-128,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8072801,3TO5,A:5-128,Q6BBK8,5-128,8072802,3TO5,A:5-128,Q6BBK8,5-128,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8072803,3EOD,A:3-125,P0AEV1,3-125,8072804,3EOD,A:3-125,P0AEV1,3-125,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8072807,3KCN,A:6-139,Q7UJS6,6-139,8072808,3KCN,A:6-139,Q7UJS6,6-139,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8072809,3JTE,A:4-128,A3DCZ0,2-126,8072810,3JTE,A:4-128,A3DCZ0,2-126,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8072811,5XJP,A:10-130,Q6TA00,10-130,8072812,5XJP,A:10-130,Q6TA00,10-130,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8072813,3CG4,A:4-129,Q2FQ04,4-129,8072814,3CG4,A:4-129,Q2FQ04,4-129,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8072815,4D6Y,A:4-124,Q2YPW6,4-124,8072816,4D6Y,A:4-124,Q2YPW6,4-124,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8072817,3CRN,A:2-122,Q2FNF5,2-122,8072818,3CRN,A:2-122,Q2FNF5,2-122,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8072819,3HDG,B:7-130,Q7MRH8,7-130,8072820,3HDG,B:7-130,Q7MRH8,7-130,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8072821,2QXY,B:4-120,Q9WZU6,2-118,8072822,2QXY,B:4-120,Q9WZU6,2-118,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8072823,6EKG,Y:3-123,Q6LYQ5,3-123,8072824,6EKG,Y:3-123,Q6LYQ5,3-123,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8072825,3GT7,A:11-148,Q2LQE8,11-148,8072826,3GT7,A:11-148,Q2LQE8,11-148,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8072827,3CNB,C:65-187,Q47UF8,65-187,8072828,3CNB,C:65-187,Q47UF8,65-187,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8072829,3C3M,A:3-123,A3CS79,2-122,8072830,3C3M,A:3-123,A3CS79,2-122,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8072831,3LTE,U:66-184,Q1N036,66-184,8072832,3LTE,U:66-184,Q1N036,66-184,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8072833,5HM6,A:6-124,Q2VSW6,6-124,8072834,5HM6,A:6-124,Q2VSW6,6-124,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8072835,5E3J,A:6-125,D0C9D6,6-125,8072836,5E3J,A:6-125,D0C9D6,6-125,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8072837,6BR7,A:5-125,A0A014C6J9,5-125,8072838,6BR7,A:5-125,A0A014C6J9,5-125,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8072839,1ZIT,A:1-121,O66551,1-121,8072840,1ZIT,A:1-121,O66551,1-121,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8072841,3CZ5,A:4-144,Q1YEP2,2-142,8072842,3CZ5,A:4-125,Q1YEP2,2-123,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8072843,3EUL,C:8-127,P9WGM5,8-127,8072844,3EUL,C:8-127,P9WGM5,8-127,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8072845,4LE2,D:1-129,O34723,1-129,8072846,4LE2,D:1-129,O34723,1-129,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8072847,2ZAY,A:8-130,Q1JZD9,154-276,8072848,2ZAY,A:8-130,Q1JZD9,154-276,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8072849,3N53,B:2-122,Q3A6W4,2-122,8072850,3N53,B:2-122,Q3A6W4,2-122,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8072851,3KYI,B:2-134,Q8KLS1,2-134,8072852,3KYI,B:2-134,Q8KLS1,2-134,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8072853,3HV2,B:11-135,Q4K707,11-135,8072854,3HV2,B:11-135,Q4K707,11-135,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8072855,2NT3,A:2-123,O68522,2-123,8072856,2NT3,A:2-123,O68522,2-123,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8072857,4QPJ,C:1-118,Q2YQA4,1-118,8072858,4QPJ,C:1-118,Q2YQA4,1-118,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8072859,3CG0,B:7-130,Q311G8,7-130,8072860,3CG0,B:7-130,Q311G8,7-130,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8072861,4UHJ,A:2-123,P0AE88,2-123,8072862,4UHJ,A:2-123,P0AE88,2-123,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8072863,4E7O,B:1-130,Q8DNC2,1-130,8072864,4E7O,B:1-130,Q8DNC2,1-130,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8072865,2QR3,A:2-125,Q64UD2,2-125,8072866,2QR3,A:2-125,Q64UD2,2-125,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8072867,3T8Y,B:3-140,Q9WYN9,3-140,8072868,3T8Y,B:3-140,Q9WYN9,3-140,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8072869,5UIC,A:1-119,A0Q7W8,1-119,8072870,5UIC,A:1-119,A0Q7W8,1-119,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8072871,3GRC,B:546-668,Q121U0,546-668,8072872,3GRC,B:546-668,Q121U0,546-668,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8072873,3H5I,A:4-128,Q3ADQ4,4-128,8072874,3H5I,A:4-128,Q3ADQ4,4-128,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8072875,2QVG,A:7-135,Q5ZSR0,8-136,8072876,2QVG,A:7-135,Q5ZSR0,8-136,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8072877,2QV0,A:58-179,P21649,58-179,8072878,2QV0,A:58-179,P21649,58-179,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8072879,2N9U,A:142-266,Q2N856,142-266,8072880,2N9U,A:142-266,Q2N856,142-266,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8072881,3C97,A:552-671,Q2U940,552-671,8072882,3C97,A:552-671,Q2U940,552-671,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8072883,4EUK,A:776-922,Q3S4A7,776-922,8072884,4EUK,A:776-922,Q3S4A7,776-922,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8072885,3GWG,A:1-123,P71403,1-123,8072886,3GWG,A:1-123,P71403,1-123,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8072887,3I42,A:19-134,Q1H0I3,19-134,8072888,3I42,A:19-134,Q1H0I3,19-134,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8072889,4ZYL,B:6-149,Q6N5G1,6-149,8072890,4ZYL,B:6-149,Q6N5G1,6-149,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8072891,5TE9,A:8-146,B2JH95,8-146,8072892,5TE9,A:8-136,B2JH95,8-136,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8072893,3NHM,A:19-138,Q1CZZ7,19-138,8072894,3NHM,A:19-138,Q1CZZ7,19-138,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8072895,6M8O,A:1-118,P60611,1-118,8072896,6M8O,A:1-118,P60611,1-118,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8072897,2QSJ,B:2-130,Q5LQW4,2-130,8072898,2QSJ,B:2-130,Q5LQW4,2-130,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8072899,3F6C,A:2-117,P0ACZ4,2-117,8072900,3F6C,A:2-117,P0ACZ4,2-117,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8072901,4XLT,A:1-129,C6VVW9,1-129,8072902,4XLT,A:1-129,C6VVW9,1-129,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8072903,3EQZ,A:3-125,Q483U6,3-125,8072904,3EQZ,A:3-125,Q483U6,3-125,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8072905,5DCL,A:4-120,X5JZS1,4-120,8072906,5DCL,A:4-120,X5JZS1,4-120,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8072907,2VUH,B:5-139,P26408,5-139,8072908,2VUH,B:5-139,P26408,5-139,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8074334,3HEB,A:8-147,Q2RWM6,8-147,8074335,3HEB,A:8-147,Q2RWM6,8-147,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8074336,3MM4,A:979-1118,O22267,979-1118,8074337,3MM4,A:979-1118,O22267,979-1118,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8074338,3HDV,D:69-185,Q88QX9,69-185,8074339,3HDV,D:69-185,Q88QX9,69-185,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8074340,3KHT,A:14-145,Q2SI73,14-145,8074341,3KHT,A:14-145,Q2SI73,14-145,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8074342,3B2N,A:4-122,A0A0H3JRA8,2-120,8074343,3B2N,A:4-122,A0A0H3JRA8,2-120,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8074344,2QZJ,A:4-124,Q180B0,2-122,8074345,2QZJ,A:4-124,Q180B0,2-122,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8074346,5TQJ,A:5-128,B2JEF9,5-128,8074347,5TQJ,A:5-128,B2JEF9,5-128,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8074348,3LUA,A:2-125,A3DK02,2-125,8074349,3LUA,A:2-125,A3DK02,2-125,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8074354,5KBX,B:503-647,Q07084,503-647,8074355,5KBX,B:503-647,Q07084,503-647,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8075474,2MSW,A:5-125,Q2N9L8,1-121,8075475,2MSW,A:5-125,Q2N9L8,1-121,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8075476,2J48,A:627-745,Q9KHI5,627-745,8075477,2J48,A:627-745,Q9KHI5,627-745,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8075478,2PLN,A:1-114,O25684,1-114,8075479,2PLN,A:1-114,O25684,1-114,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8075480,2HQO,A:1-118,Q9ZM42,1-118,8075481,2HQO,A:1-118,Q9ZM42,1-118,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8076228,5IC5,A:1-152,F5Y2U8,1-152,8076229,5IC5,A:1-132,F5Y2U8,1-132,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8076230,5JYU,A:613-729,Q8DKG0,613-729,8076231,5JYU,A:613-729,Q8DKG0,613-729,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8076697,3KTO,A:12-133,Q15U25,12-133,8076698,3KTO,A:12-133,Q15U25,12-133,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8077394,2RDM,A:2-122,A6UIY7,2-122,8077395,2RDM,A:2-122,A6UIY7,2-122,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8077428,2LPM,A:4-123,Q930Y6,1-120,8077429,2LPM,A:4-123,Q930Y6,1-120,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8081626,3M6M,D:462-581,P0C0F6,462-581,8081627,3M6M,D:462-581,P0C0F6,462-581,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8083886,3RQI,A:3-138,Q3JXA5,3-138,8083887,3RQI,A:3-117,Q3JXA5,3-117,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
8092321,4CBV,B:1-133,Q79CK7,1-133,8092322,4CBV,B:1-133,Q79CK7,1-133,"TP=1,CL=1000002,CF=2000016,SF=3001156,FA=4003632",1,1000002,2000016,3001156,4003632
